,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
31617,31618,0.24,Very Good,D,VS2,61.4,60.0,373,3.98,4.0,2.45
41454,41455,0.52,Ideal,E,SI2,62.9,56.0,1229,5.15,5.12,3.23
19573,19574,1.51,Ideal,J,VS2,61.5,56.0,8203,7.37,7.4,4.54
45961,45962,0.24,Ideal,E,VVS2,61.7,58.0,526,3.96,4.01,2.46
19851,19852,1.18,Very Good,G,VS2,62.7,54.7,8411,6.74,6.77,4.23
15328,15329,1.09,Premium,G,VS2,60.6,62.0,6153,6.68,6.58,4.02
41698,41699,0.45,Good,E,VS1,61.7,63.0,1241,4.88,4.91,3.02
18030,18031,0.35,Ideal,I,VVS2,62.3,57.0,614,4.49,4.53,2.81
53852,53853,0.83,Ideal,J,VS2,62.3,55.0,2742,6.01,6.03,3.75
9718,9719,0.3,Ideal,H,VVS2,61.5,55.0,590,4.34,4.37,2.68
4696,4697,1.01,Premium,H,SI2,61.6,60.0,3676,6.22,6.18,3.82
2890,2891,0.9,Fair,H,SI1,61.4,61.0,3282,6.08,6.14,3.75
8298,8299,0.9,Premium,E,SI1,59.8,55.0,4385,6.34,6.3,3.78
39561,39562,0.36,Ideal,E,VS2,60.2,56.0,1080,4.65,4.62,2.79
6425,6426,1.01,Premium,E,SI2,60.6,58.0,4044,6.47,6.53,3.94
15643,15644,1.0,Good,E,VS2,57.4,62.0,6272,6.56,6.53,3.76
37604,37605,0.23,Very Good,D,VVS2,63.5,58.0,485,3.86,3.89,2.46
47855,47856,0.78,Ideal,H,SI2,62.6,56.0,1909,5.88,5.81,3.66
31777,31778,0.42,Premium,F,SI1,60.8,58.0,773,4.83,4.87,2.95
8852,8853,1.01,Good,E,SI1,59.3,64.0,4480,6.49,6.47,3.84
39563,39564,0.4,Premium,G,VS1,62.2,55.0,1080,4.83,4.69,2.96
4732,4733,0.3,Ideal,F,VS2,61.9,56.0,573,4.32,4.34,2.68
23424,23425,1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88
47930,47931,0.56,Ideal,E,VS2,61.9,56.0,1915,5.32,5.27,3.28
3727,3728,0.36,Ideal,H,VS2,62.1,55.0,568,4.57,4.61,2.85
43565,43566,0.51,Ideal,D,SI1,61.0,56.0,1431,5.15,5.17,3.15
46128,46129,0.51,Ideal,F,VS1,62.1,56.0,1744,5.13,5.15,3.19
47095,47096,0.53,Premium,D,VS2,59.9,58.0,1825,5.29,5.26,3.16
15166,15167,1.44,Ideal,G,I1,63.2,55.0,6096,7.21,7.18,4.54
6731,6732,0.25,Premium,H,VVS1,62.7,60.0,577,4.03,3.98,2.51
1915,1916,0.71,Ideal,E,VS1,62.2,57.0,3081,5.74,5.7,3.56
3897,3898,0.91,Very Good,F,SI2,63.1,56.0,3489,6.13,6.17,3.88
26258,26259,2.06,Premium,I,SI1,60.8,60.0,15716,8.25,8.16,4.99
45099,45100,0.57,Very Good,G,VS1,59.3,56.0,1648,5.38,5.44,3.21
19559,19560,1.5,Premium,G,SI2,62.0,62.0,8190,7.31,7.25,4.51
42097,42098,0.44,Ideal,E,VVS2,61.8,56.0,1274,4.88,4.93,3.03
47918,47919,0.57,Premium,F,VS1,61.3,58.0,1915,5.38,5.26,3.26
10583,10584,1.01,Very Good,H,VS2,62.5,57.0,4821,6.37,6.44,4.0
35729,35730,0.3,Premium,D,VS2,61.7,58.0,911,4.32,4.3,2.66
4046,4047,0.7,Ideal,D,VS1,62.8,54.0,3529,5.65,5.69,3.56
25009,25010,2.0,Good,J,VS2,58.0,62.0,13542,8.17,8.25,4.76
22732,22733,1.0,Premium,D,VVS1,62.9,58.0,10752,6.34,6.28,3.97
40790,40791,0.31,Ideal,F,IF,61.0,56.0,1168,4.38,4.41,2.68
44455,44456,0.5,Very Good,G,VS1,61.3,58.0,1592,5.03,5.09,3.1
31451,31452,0.34,Ideal,G,VS2,61.1,55.0,765,4.55,4.52,2.77
6839,6840,0.91,Very Good,D,SI2,61.5,56.0,4123,6.22,6.27,3.84
3277,3278,0.7,Ideal,D,VS1,62.5,57.0,3361,5.65,5.68,3.54
4085,4086,0.77,Ideal,F,VS2,61.8,56.0,3533,5.9,5.92,3.65
38352,38353,0.47,Very Good,F,SI1,61.1,61.0,1021,4.97,5.01,3.05
829,830,0.7,Ideal,D,VS2,62.4,57.0,2867,5.68,5.61,3.52
31296,31297,0.32,Premium,D,VS2,61.7,59.0,758,4.38,4.43,2.72
45882,45883,0.55,Ideal,F,SI1,61.7,56.0,1718,5.3,5.26,3.25
12088,12089,1.28,Premium,H,SI2,62.5,62.0,5161,6.89,6.84,4.3
40431,40432,0.42,Ideal,G,SI1,61.6,56.0,1136,4.83,4.85,2.98
8909,8910,0.9,Very Good,F,VS2,61.7,57.0,4493,6.17,6.21,3.82
38328,38329,0.32,Premium,E,VVS1,60.5,58.0,1020,4.47,4.42,2.69
33043,33044,0.32,Ideal,G,VVS1,61.8,54.0,814,4.41,4.43,2.73
6710,6711,0.31,Good,J,VS1,61.9,61.0,412,4.29,4.34,2.67
38280,38281,0.28,Very Good,E,VS2,63.7,58.0,487,4.12,4.14,2.63
6884,6885,1.2,Premium,I,VS2,61.3,60.0,4131,6.79,6.75,4.15
1812,1813,0.78,Very Good,E,SI1,60.9,57.0,3055,5.93,5.97,3.62
47247,47248,0.5,Ideal,G,VVS2,62.2,56.0,1842,5.08,5.11,3.17
27694,27695,0.41,Ideal,J,VS1,61.3,57.0,648,4.81,4.84,2.96
22643,22644,1.5,Good,H,VS2,63.9,60.0,10692,7.17,7.22,4.6
29308,29309,0.25,Ideal,G,VS1,62.7,54.0,438,4.05,4.08,2.55
31624,31625,0.3,Ideal,H,SI1,62.2,57.0,450,4.26,4.29,2.66
34938,34939,0.27,Good,E,VS1,57.5,63.0,377,4.24,4.28,2.45
12613,12614,1.14,Premium,I,VS1,62.3,59.0,5291,6.69,6.64,4.15
46227,46228,0.5,Very Good,D,VS2,62.8,58.0,1752,5.05,5.08,3.18
4292,4293,1.04,Ideal,E,SI2,59.0,57.0,3588,6.65,6.6,3.91
17578,17579,1.06,Very Good,E,VS2,61.0,60.0,7079,6.57,6.53,4.0
50863,50864,0.82,Very Good,J,SI1,62.9,57.0,2313,5.88,5.94,3.72
33280,33281,0.31,Very Good,G,SI1,61.5,59.0,462,4.34,4.38,2.68
14111,14112,1.0,Good,G,VS2,63.0,58.0,5723,6.25,6.35,3.97
31831,31832,0.34,Premium,G,VVS2,61.6,58.0,775,4.44,4.49,2.75
33210,33211,0.27,Premium,F,IF,61.7,57.0,820,4.21,4.12,2.57
5033,5034,1.03,Fair,H,SI2,66.3,57.0,3749,6.35,6.25,4.18
16027,16028,0.3,Premium,I,VS1,60.8,59.0,608,4.32,4.3,2.62
28276,28277,0.25,Ideal,G,SI1,62.3,53.0,363,4.06,4.09,2.54
46349,46350,0.58,Ideal,H,VS1,61.1,57.0,1759,5.38,5.42,3.3
9397,9398,1.0,Very Good,F,SI1,58.1,63.0,4586,6.45,6.36,3.72
23133,23134,1.5,Premium,I,VVS1,62.4,60.0,11155,7.32,7.29,4.56
41539,41540,0.42,Premium,D,VS1,60.8,59.0,1235,4.85,4.79,2.93
41255,41256,0.3,Very Good,F,SI1,62.9,57.0,500,4.25,4.27,2.68
12976,12977,1.06,Premium,D,SI2,62.5,56.0,5393,6.61,6.47,4.09
31852,31853,0.3,Ideal,F,VS2,61.6,57.0,776,4.33,4.3,2.66
29476,29477,0.32,Premium,E,VS2,61.2,59.0,702,4.4,4.43,2.7
22479,22480,1.21,Ideal,F,VS1,61.8,56.0,10504,6.84,6.86,4.23
7205,7206,1.21,Very Good,J,VS2,62.4,58.0,4191,6.79,6.83,4.25
11575,11576,1.02,Very Good,F,SI1,62.1,63.0,5038,6.48,6.36,3.99
49291,49292,0.33,Ideal,H,VS2,61.8,54.0,539,4.45,4.48,2.76
278,279,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72
32806,32807,0.34,Premium,D,VS2,62.1,58.0,805,4.45,4.5,2.78
5028,5029,0.92,Premium,F,SI1,62.6,59.0,3749,6.19,6.23,3.89
30063,30064,0.34,Ideal,G,VS1,60.6,57.0,720,4.52,4.57,2.75
36898,36899,0.4,Ideal,E,VS1,62.1,55.0,960,4.79,4.75,2.96
11257,11258,1.11,Ideal,E,SI2,62.2,56.0,4969,6.58,6.66,4.12
49473,49474,0.72,Very Good,G,SI2,60.6,57.0,2114,5.79,5.86,3.53
35387,35388,0.41,Premium,G,VS1,61.9,60.0,899,4.7,4.76,2.93
17531,17532,1.0,Premium,F,VS1,59.2,60.0,7056,6.53,6.48,3.58
321,322,0.71,Good,F,VS2,63.8,58.0,2801,5.64,5.61,3.59
15562,15563,1.01,Premium,G,VS1,59.9,59.0,6239,6.48,6.51,3.89
49361,49362,0.73,Good,J,VS2,60.8,63.0,2098,5.67,5.78,3.48
5464,5465,1.0,Good,J,VS2,62.0,61.0,3835,6.36,6.45,3.97
5943,5944,0.9,Good,I,VVS2,62.9,61.0,3946,6.1,6.14,3.85
29388,29389,0.31,Very Good,E,SI1,63.1,57.0,698,4.35,4.3,2.73
9421,9422,1.01,Very Good,D,SI2,60.3,57.0,4588,6.51,6.56,3.94
7178,7179,1.01,Very Good,I,SI1,63.4,55.0,4185,6.39,6.35,4.04
19184,19185,1.5,Ideal,G,SI2,61.5,57.0,7936,7.33,7.39,4.53
13849,13850,1.2,Very Good,E,SI2,63.3,55.0,5645,6.77,6.73,4.27
30981,30982,0.37,Good,F,VS2,63.3,56.0,746,4.56,4.63,2.91
28144,28145,0.3,Ideal,G,VVS2,62.3,57.0,665,4.29,4.32,2.68
44989,44990,0.31,Premium,J,VS1,60.7,60.0,523,4.39,4.34,2.65
9367,9368,0.32,Good,D,SI1,63.7,55.0,589,4.35,4.38,2.78
32514,32515,0.4,Good,D,SI2,63.8,54.0,798,4.73,4.7,3.01
50320,50321,0.7,Ideal,I,VS2,61.9,53.2,2240,5.68,5.71,3.56
25841,25842,1.51,Very Good,E,VS2,60.1,58.0,14889,7.51,7.57,4.53
16957,16958,1.02,Premium,F,VS2,62.4,59.0,6773,6.45,6.4,4.01
33896,33897,0.3,Ideal,E,VS2,62.2,56.0,844,4.3,4.28,2.67
24621,24622,1.55,Ideal,G,SI1,61.7,57.0,12951,7.4,7.44,4.58
45654,45655,0.25,Premium,E,VS2,59.7,61.0,525,4.1,4.08,2.44
15466,15467,1.14,Very Good,F,SI1,61.3,62.0,6194,6.71,6.77,4.13
47328,47329,0.23,Very Good,D,VVS2,61.4,58.0,530,3.92,3.96,2.42
9413,9414,1.01,Good,D,SI2,63.9,57.0,4588,6.29,6.36,4.04
16164,16165,1.07,Ideal,F,VS2,62.0,57.0,6459,6.5,6.47,4.08
181,182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
22889,22890,1.3,Premium,F,VS1,61.0,59.0,10930,7.05,7.08,4.31
12443,12444,0.9,Premium,E,VS1,60.1,56.0,5242,6.38,6.3,3.81
23940,23941,1.51,Ideal,H,VS1,62.5,54.0,12071,7.28,7.34,4.57
33312,33313,0.35,Ideal,D,SI1,60.7,57.0,827,4.57,4.53,2.76
1278,1279,0.71,Premium,D,VS2,62.1,60.0,2950,5.72,5.68,3.54
48668,48669,0.61,Ideal,F,VS2,62.4,55.0,2002,5.42,5.45,3.39
50115,50116,0.71,Very Good,H,SI1,63.1,56.0,2210,5.62,5.69,3.57
31887,31888,0.3,Premium,G,VS1,61.4,60.0,776,4.33,4.3,2.65
36872,36873,0.42,Ideal,E,VS2,62.3,55.0,958,4.77,4.83,2.99
1245,1246,0.78,Very Good,D,SI1,62.4,58.0,2945,5.86,5.9,3.67
51932,51933,0.74,Ideal,I,VS1,62.1,56.0,2440,5.75,5.82,3.59
36864,36865,0.39,Premium,D,VS2,61.3,58.0,958,4.7,4.73,2.89
26285,26286,2.09,Very Good,F,SI2,60.2,61.0,15773,8.32,8.29,5.0
42366,42367,0.51,Very Good,E,SI1,62.9,57.0,1304,5.06,5.11,3.2
3698,3699,0.9,Very Good,E,SI2,64.2,54.0,3449,6.08,6.11,3.91
8686,8687,1.01,Ideal,F,SI2,62.1,55.0,4458,6.42,6.47,4.0
5166,5167,1.02,Good,H,SI2,57.9,61.0,3770,6.75,6.68,3.89
41361,41362,0.52,Premium,H,SI1,62.6,55.0,1219,5.16,5.12,3.22
40354,40355,0.43,Premium,F,VS1,62.5,58.0,1129,4.85,4.78,3.01
21480,21481,1.52,Very Good,I,VS1,62.2,63.0,9576,7.26,7.23,4.51
41958,41959,0.23,Very Good,E,VVS2,60.8,61.0,505,3.91,3.94,2.39
42443,42444,0.55,Premium,I,VS2,61.7,55.0,1314,5.35,5.29,3.28
18843,18844,1.02,Very Good,G,VVS2,62.5,59.0,7724,6.34,6.42,3.99
45098,45099,0.53,Very Good,G,VS1,61.2,57.0,1648,5.22,5.26,3.2
13000,13001,1.0,Premium,H,VS2,62.4,59.0,5404,6.75,6.72,4.2
42658,42659,0.5,Good,D,SI1,63.8,60.0,1333,5.0,5.03,3.2
46864,46865,0.53,Ideal,G,VS1,62.6,54.0,1813,5.19,5.16,3.24
30647,30648,0.4,Ideal,I,VS1,61.5,59.0,736,4.72,4.75,2.91
35081,35082,0.37,Ideal,E,VS1,61.6,54.7,886,4.61,4.63,2.85
27866,27867,0.3,Very Good,E,VS1,60.2,57.0,653,4.37,4.3,2.61
17261,17262,1.02,Very Good,D,VS2,63.4,54.0,6909,6.38,6.33,4.03
11500,11501,1.05,Very Good,G,SI1,59.7,58.0,5019,6.6,6.66,3.96
6364,6365,0.32,Very Good,I,VS2,63.4,55.0,576,4.37,4.33,2.76
42865,42866,0.54,Very Good,E,SI1,60.2,58.0,1358,5.23,5.37,3.19
33018,33019,0.33,Ideal,E,VVS2,60.9,56.0,814,4.45,4.48,2.72
26368,26369,0.32,Very Good,F,VS2,59.5,61.0,645,4.42,4.46,2.64
31726,31727,0.33,Very Good,F,VS1,59.1,60.0,772,4.48,4.52,2.66
25328,25329,1.51,Very Good,G,VS1,59.5,59.0,14028,7.41,7.45,4.42
342,343,0.71,Very Good,E,VS2,63.8,58.0,2804,5.62,5.66,3.6
13818,13819,1.12,Good,E,SI1,64.3,57.0,5630,6.56,6.5,4.2
53676,53677,0.71,Premium,E,VS2,62.1,59.0,2711,5.68,5.72,3.54
25635,25636,1.51,Premium,G,VS1,62.6,60.0,14507,7.28,7.19,4.53
34264,34265,0.31,Very Good,J,SI1,63.5,55.0,465,4.33,4.3,2.74
29307,29308,0.25,Ideal,G,VS1,62.6,53.0,438,4.01,4.07,2.53
27584,27585,2.0,Premium,E,SI2,61.8,56.0,18426,8.12,8.05,5.0
10327,10328,0.91,Fair,D,VS2,64.5,55.0,4765,6.24,6.07,3.97
14034,14035,1.07,Ideal,E,SI2,61.5,56.0,5704,6.61,6.58,4.06
45312,45313,0.3,Ideal,G,VS1,61.1,56.0,524,4.35,4.36,2.66
34976,34977,0.23,Good,E,VVS1,64.4,57.0,472,3.87,3.9,2.5
53106,53107,0.57,Ideal,E,VVS2,61.5,55.9,2615,5.31,5.35,3.28
12744,12745,1.2,Ideal,J,VS2,61.8,55.0,5318,6.84,6.86,4.23
23524,23525,1.2,Ideal,G,VVS2,60.9,56.0,11530,6.86,6.91,4.19
12921,12922,1.0,Good,E,VS2,64.0,58.0,5376,6.24,6.2,3.99
37069,37070,0.55,Good,J,VS1,63.8,61.0,969,5.09,5.12,3.26
25188,25189,2.01,Ideal,I,SI2,62.5,55.0,13777,8.12,8.08,5.06
48247,48248,0.73,Very Good,J,VS2,60.6,61.0,1952,5.77,5.81,3.51
48681,48682,0.53,Ideal,G,VVS1,60.8,56.0,2005,5.22,5.24,3.18
19427,19428,1.23,Very Good,D,SI1,62.3,57.0,8079,6.8,6.87,4.26
49565,49566,0.6,Ideal,G,VS1,61.6,56.0,2131,5.44,5.47,3.36
7406,7407,0.33,Premium,I,VVS2,61.5,58.0,579,4.43,4.45,2.73
8613,8614,1.01,Ideal,J,VS2,62.2,54.0,4443,6.41,6.47,4.01
20391,20392,0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.35,2.69
25882,25883,2.01,Ideal,H,SI2,62.5,53.9,14998,8.04,8.07,5.04
33243,33244,0.31,Ideal,G,VS1,61.0,56.0,824,4.4,4.35,2.67
4428,4429,1.09,Ideal,G,I1,61.0,56.0,3614,6.66,6.62,4.05
46390,46391,0.7,Premium,J,VVS2,60.6,58.0,1764,5.73,5.82,3.5
18788,18789,1.08,Premium,D,VS2,61.2,60.0,7683,6.61,6.63,4.05
40896,40897,0.44,Ideal,H,IF,61.4,55.0,1177,4.92,4.95,3.03
29784,29785,0.3,Premium,D,SI1,59.7,59.0,709,4.37,4.34,2.6
35936,35937,0.42,Premium,G,SI1,62.7,59.0,920,4.75,4.72,2.97
27454,27455,2.3,Ideal,H,SI2,62.6,54.0,18108,8.42,8.46,5.28
26839,26840,2.03,Premium,H,SI1,61.7,59.0,16747,8.1,8.17,5.02
22970,22971,1.21,Ideal,D,VS1,60.1,60.0,11019,6.92,6.99,4.18
38571,38572,0.4,Premium,H,VS1,62.6,58.0,1035,4.73,4.66,2.94
5996,5997,0.91,Premium,D,SI2,61.2,58.0,3958,6.21,6.25,3.81
29608,29609,0.35,Premium,F,VS2,61.8,58.0,706,4.48,4.52,2.78
1538,1539,0.9,Ideal,I,SI2,62.0,56.0,3001,6.16,6.2,3.83
12182,12183,1.01,Ideal,F,SI1,62.0,57.0,5184,6.38,6.42,3.97
16849,16850,1.0,Premium,E,VS2,61.5,58.0,6720,6.42,6.39,3.94
17207,17208,1.24,Premium,E,SI1,59.7,59.0,6875,7.07,6.99,4.2
20022,20023,0.32,Ideal,G,SI2,62.5,57.0,421,4.35,4.38,2.73
18524,18525,1.53,Ideal,J,VS2,61.4,58.0,7550,7.35,7.43,4.54
7291,7292,0.91,Very Good,H,VS2,62.8,58.0,4201,6.15,6.17,3.87
15408,15409,1.32,Premium,I,SI1,62.3,58.0,6171,6.98,7.01,4.36
43372,43373,0.38,Very Good,E,IF,62.5,59.0,1409,4.61,4.64,2.89
11835,11836,1.0,Premium,D,SI1,62.2,58.0,5096,6.28,6.23,3.89
26575,26576,2.01,Premium,H,SI1,58.2,62.0,16287,8.26,8.21,4.79
14620,14621,1.01,Good,F,VS2,60.1,60.0,5902,6.46,6.51,3.9
4516,4517,1.0,Fair,D,SI2,65.2,56.0,3634,6.27,6.21,4.07
43542,43543,0.52,Ideal,G,VS2,61.7,56.0,1428,5.15,5.19,3.19
49237,49238,0.51,Very Good,G,IF,59.3,57.0,2084,5.25,5.31,3.13
34606,34607,0.27,Very Good,D,VS1,60.4,59.0,470,4.15,4.2,2.52
40210,40211,0.31,Premium,F,IF,61.6,58.0,1122,4.37,4.33,2.68
13728,13729,0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56
16062,16063,1.01,Very Good,F,VS2,62.8,59.0,6416,6.33,6.41,4.0
19935,19936,1.02,Ideal,G,VVS1,62.6,56.0,8485,6.39,6.42,4.01
26848,26849,2.01,Premium,I,VS2,62.7,58.0,16778,7.98,7.94,4.99
16017,16018,1.32,Ideal,G,SI2,62.9,57.0,6409,6.98,6.94,4.38
27195,27196,2.01,Good,I,VS2,65.0,57.0,17497,7.85,7.99,5.15
12870,12871,1.09,Ideal,D,SI2,62.4,57.0,5364,6.55,6.6,4.1
49089,49090,0.51,Very Good,E,VVS2,60.0,58.0,2062,5.19,5.21,3.12
47402,47403,0.7,Fair,I,SI1,62.0,67.0,1848,5.54,5.5,3.42
52105,52106,0.47,Ideal,D,VVS1,62.1,55.0,2460,4.98,5.01,3.1
2803,2804,0.71,Ideal,D,SI1,60.9,57.0,3262,5.75,5.79,3.51
51009,51010,0.73,Ideal,I,VS2,62.1,54.0,2327,5.79,5.8,3.6
36911,36912,0.34,Ideal,D,VS1,62.6,56.0,961,4.52,4.49,2.82
8517,8518,1.04,Ideal,F,SI1,62.1,56.0,4426,6.54,6.47,4.04
6005,6006,1.01,Very Good,H,SI2,63.4,55.0,3959,6.35,6.29,4.01
51369,51370,0.3,Very Good,D,VVS2,60.6,58.0,2366,4.33,4.35,2.63
40623,40624,0.41,Ideal,E,VS1,61.7,57.0,1153,4.8,4.76,2.95
29724,29725,0.31,Premium,H,VVS1,62.6,58.0,707,4.29,4.33,2.7
30920,30921,0.34,Ideal,F,VS1,62.1,57.0,745,4.49,4.53,2.8
9222,9223,1.05,Premium,F,SI2,62.6,59.0,4557,6.47,6.43,4.04
17986,17987,1.06,Ideal,E,VS2,61.9,55.0,7275,6.54,6.58,4.06
33435,33436,0.32,Ideal,G,VS1,62.1,55.0,828,4.42,4.4,2.74
19094,19095,1.01,Premium,G,VVS2,60.7,58.0,7862,6.52,6.49,3.95
49354,49355,0.71,Very Good,F,SI2,59.0,58.0,2098,5.84,5.89,3.46
600,601,0.7,Premium,F,VS2,59.4,61.0,2838,5.83,5.79,3.45
51263,51264,0.97,Ideal,I,I1,61.6,53.0,2357,6.43,6.4,3.95
53038,53039,0.53,Ideal,E,VVS1,62.1,55.0,2604,5.18,5.23,3.23
40225,40226,0.4,Premium,D,VS1,62.5,60.0,1123,4.66,4.72,2.93
12104,12105,1.1,Premium,D,SI1,60.4,59.0,5166,6.66,6.69,4.03
19489,19490,1.3,Ideal,H,VS2,62.8,56.0,8124,7.03,6.93,4.38
25461,25462,2.05,Premium,J,VS1,62.4,58.0,14224,8.08,8.13,5.06
5305,5306,0.93,Premium,G,SI2,61.7,60.0,3802,6.25,6.2,3.84
39244,39245,0.51,Premium,F,SI2,62.1,56.0,1068,5.16,5.11,3.19
30914,30915,0.34,Ideal,E,VS2,62.4,55.0,745,4.48,4.53,2.81
23556,23557,1.51,Premium,E,SI1,62.8,59.0,11565,7.3,7.26,4.57
48453,48454,0.55,Premium,D,VS1,62.0,58.0,1975,5.26,5.28,3.27
13206,13207,1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
42309,42310,0.41,Ideal,F,VVS1,61.8,55.0,1295,4.76,4.78,2.95
3522,3523,1.0,Premium,F,I1,62.4,59.0,3405,6.38,6.34,3.97
50219,50220,0.7,Very Good,F,SI1,61.8,58.0,2230,5.67,5.72,3.52
44403,44404,0.55,Ideal,H,SI1,61.4,56.0,1584,5.28,5.31,3.25
35629,35630,0.3,Very Good,H,VS2,62.6,58.0,473,4.22,4.28,2.66
32487,32488,0.4,Very Good,G,SI1,62.6,55.3,795,4.69,4.71,2.93
19807,19808,1.51,Very Good,H,SI2,60.8,56.0,8372,7.41,7.46,4.52
52114,52115,0.72,Very Good,H,VS2,61.4,57.0,2462,5.75,5.79,3.54
13877,13878,1.01,Very Good,F,VS2,63.5,58.0,5650,6.35,6.32,4.02
9942,9943,1.01,Ideal,H,SI2,61.1,56.0,4693,6.44,6.48,3.95
